Host name,Host LinkedIn,Podcast name,Tag,Last updated (as of 1/10/2023),Number of episodes (as of 1/10/2023),Podcasts.apple.com,Spotify.com,Podcast Site,Link to podcast/webinar/youtube channel,Number of followers on LinkedIn
,https://www.linkedin.com/company/alation/,Data Radicals,data,Nov-22,28,https://podcasts.apple.com/us/podcast/data-radicals/id1604676234,https://podcasts.apple.com/us/podcast/data-radicals/id1604676234,https://www.alation.com/podcast/,,"74,271"
Jon Krohn,https://www.linkedin.com/in/jonkrohn/,Super Data Science,data science,Jan-23,500,https://podcasts.apple.com/us/podcast/super-data-science/id1163599059,https://open.spotify.com/show/1n8P7ZSgfVLVJ3GegxPat1,https://www.superdatascience.com/podcast,,"19,676"
Alex Merced,https://www.linkedin.com/in/alexmerced/,The datanation,"data engineering, data science",Jan-23,10,https://podcasts.apple.com/be/podcast/the-datanation-podcast-podcast-for-data-engineers/id1608638822,,,,"19,295"
Cole Nussbaumer Knaflic,https://www.linkedin.com/in/colenussbaumer/,storytelling with data podcast,visualization,Nov-22,59,https://podcasts.apple.com/us/podcast/storytelling-with-data-podcast/id1318029970,https://open.spotify.com/show/7kdwnSAfzxHt4Xg9K8gy5n,https://storytellingwithdata.libsyn.com/,,"18,006"
Dustin Schimek,https://www.linkedin.com/in/dustinschimek/,Data Ideas,data,Jan-23,18,https://podcasts.apple.com/us/podcast/data-ideas/id1650322207,,,,"17,960"
Cindi Howson,https://www.linkedin.com/in/biscorecard/,The Data Chief,data,Nov-22,64,https://podcasts.apple.com/us/podcast/the-data-chief/id1509495585,https://open.spotify.com/show/7hJCWLsVaoqR7YTkWoyoOI,https://www.thoughtspot.com/data-chief/podcast,,"16,761"
John David Ariansen,https://www.linkedin.com/in/johndavidariansen/,How to Get an Analytics Job,"career, data",Jan-23,180,https://podcasts.apple.com/us/podcast/how-to-get-an-analytics-job/id1492747803,https://open.spotify.com/show/38EDkxhJiAwDWo4TMGXyoK,https://www.silvertoneanalytics.com/how-to-get-an-analytics-job/,,"16,738"
Jahanvee Narang,https://www.linkedin.com/in/jahanveenarang/,Decoding Data Analytics,analytics,Jan-23,4,,,https://www.youtube.com/@decodingdataanalytics/videos,,"15,624"
Mike Delgado,https://www.linkedin.com/in/mikedelgado/,DataTalk,analytics,Nov-22,99,https://podcasts.apple.com/us/podcast/datatalk/id1398548129,https://open.spotify.com/show/7vNbbMZ26WWfMXjqOUy3jk,,,"14,830"
Nicola Askham,https://www.linkedin.com/in/nicolaaskham/,The Data Governance,data governance,Dec-22,24,,https://open.spotify.com/show/2jvqe9HZe4DRZXP0BGHoXP,https://www.nicolaaskham.com/podcast,,"13,632"
Wayne Eckerson,https://www.linkedin.com/in/weckerson/,Secrets of Data Analytics Leaders,data,Jan-23,147,https://podcasts.apple.com/us/podcast/secrets-of-data-analytics-leaders/id1334792097,https://open.spotify.com/show/2AtOM77AVDvMejf4JL3Ngj,https://www.eckerson.com/podcasts/secrets-of-data-analytics-leaders,,"13,298"
